TxnType,Nonce,Position,GasLimit_UsagebyTxn,GasLimit_UsagebyTxn1,GasLimit_UsagebyTxn2,L1DataFee,L1DataFee1,ExecutionFee,ExecutionFee1,ExecutionFee2,InputData,InputData1,InputData2,InputData3,PrivateNote,PrivateNote1,PrivateNote_URL,TransactionHash,Status,Block,Block_URL,Block1,Timestamp,From,From_URL,Value,Value1,TotalTxFee,TotalTxFee1,GasPrice,GasPrice1,GasPrice2
,,,,,,,,,,,,,,,,,,0x06d199e9302670bbfd727ba8689311280e9230527e284ec870d8add33b39caca,Success,2883534,https://scrollscan.com/block/2883534,Confirmed by Sequencer,5 secs ago (Jan-29-2024 04:43:03 PM +UTC),,,,,,,,,
0 (Legacy),23,4,"60,306",|,"59,854 (99.25%)",0.000147780534419298 ETH ($0.34),.,0.00002872992 ETH ($0.07),0.00002872992 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000020e77ad760ec9e922fd2da8847abfbb2471b92cd
[1]:  000000000000000000000000000000000000000000000000000000000a2a5412",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xf70583c7a8d7b77a45ce086c9bf07f17a991d0904eb70cb22fc53a970de06ebc,0xf70583c7a8d7b77a45ce086c9bf07f17a991d0904eb70cb22fc53a970de06ebc,Success,2883534,https://scrollscan.com/block/2883534,Confirmed by Sequencer,7 secs ago (Jan-29-2024 04:43:03 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000176510454419298 ETH ($0.40),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xfed81bb7cd7116e227b84232e125e210cda280bbe9f096b16b1b7025af9fca0e,Success,2883534,https://scrollscan.com/block/2883534,Confirmed by Sequencer,8 secs ago (Jan-29-2024 04:43:03 PM +UTC),0x0eea4e447a2e2ba54b1f3b8a6618862114529ceb,https://scrollscan.com/address/0x0eea4e447a2e2ba54b1f3b8a6618862114529ceb,,,,,,,
0 (Legacy),21,2,"49,629",|,"48,926 (98.58%)",0.000147047738380855 ETH ($0.34),.,0.00002348448 ETH ($0.05),0.00002348448 ETH,.,"Function: approve(address spender,uint256 amount)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000018575a2c92fc59634f16b799d256fc045735d3f9
[1]:  00000000000000000000000000000000000000000000000000000000005b8d80",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x0a697e506f60108039fbca362c5f07f4b408b5280645b83bcf569572feb427dc,0x0a697e506f60108039fbca362c5f07f4b408b5280645b83bcf569572feb427dc,Success,2883534,https://scrollscan.com/block/2883534,Confirmed by Sequencer,10 secs ago (Jan-29-2024 04:43:03 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000170532218380855 ETH ($0.39),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x024302da1685562425271592182ab3af373c97e98a0e05dc354a0f71a7e25466,Success,2883534,https://scrollscan.com/block/2883534,Confirmed by Sequencer,11 secs ago (Jan-29-2024 04:43:03 PM +UTC),,,,,,,,,
0 (Legacy),232576,0,"31,500",|,"21,000 (66.67%)",0.000133613144342737 ETH ($0.31),.,0.000012096 ETH ($0.03),0.000012096 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x18159144c8cbf8a3be6d64feb0649f589d5db7769db90dea6d3b434c1dbded06,0x18159144c8cbf8a3be6d64feb0649f589d5db7769db90dea6d3b434c1dbded06,Success,2883534,https://scrollscan.com/block/2883534,Confirmed by Sequencer,13 secs ago (Jan-29-2024 04:43:03 PM +UTC),,,0.005000000000000019 ETH ($11.45),0.005000000000000019 ETH,0.000145709144342737 ETH ($0.33),.,0.000000000576 ETH (0.576 Gwei),.,.
0 (Legacy),4,1,"21,000",|,"21,000 (100%)",0.000132147552265851 ETH ($0.30),.,0.00001008 ETH ($0.02),0.00001008 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x4d31dd0c78ac3c121c0bc016973f84eef9258d824abc4b4e980b8e504fab84b7,0x4d31dd0c78ac3c121c0bc016973f84eef9258d824abc4b4e980b8e504fab84b7,Success,2883533,https://scrollscan.com/block/2883533,Confirmed by Sequencer,17 secs ago (Jan-29-2024 04:43:00 PM +UTC),,,0.004300000000009031 ETH ($9.85),0.004300000000009031 ETH,0.000142227552265851 ETH ($0.33),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xeca1e14ee8977299333380697fa5135e6563ef5f7831551749bcff8e0ae2f434,Success,2883533,https://scrollscan.com/block/2883533,Confirmed by Sequencer,19 secs ago (Jan-29-2024 04:43:00 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x5838df2c19488d4c724609c6f140832ebd7545afac5bd4f7256aba1c36b45195,Success,2883532,https://scrollscan.com/block/2883532,Confirmed by Sequencer,23 secs ago (Jan-29-2024 04:42:57 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x69793f9fb9fb62624a82274e0aa97ea7f92df8a948aec7f9778f5e66330dafa8,Success,2883532,https://scrollscan.com/block/2883532,Confirmed by Sequencer,24 secs ago (Jan-29-2024 04:42:57 PM +UTC),0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,https://scrollscan.com/address/0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,,,,,,,
,,,,,,,,,,,,,,,,,,0x6430aec3273f9f0ea3413cc0e23fc663b0fffdba99cb60e195616e20e3740b79,Success,2883531,https://scrollscan.com/block/2883531,Confirmed by Sequencer,29 secs ago (Jan-29-2024 04:42:54 PM +UTC),0x770372c5862e889397156e2a2cedfe0a0902664d,https://scrollscan.com/address/0x770372c5862e889397156e2a2cedfe0a0902664d,,,,,,,
,,,,,,,,,,,,,,,,,,0x8f52bd902aa7120b010d213a5234b3fb15bd49fd07f276b0cc5540cb767e9fa4,Success,2883531,https://scrollscan.com/block/2883531,Confirmed by Sequencer,30 secs ago (Jan-29-2024 04:42:54 PM +UTC),,,,,,,,,
0 (Legacy),30,5,"60,294",|,"59,842 (99.25%)",0.000147414136400076 ETH ($0.34),.,0.0000239368 ETH ($0.05),0.0000239368 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000026cb8660eefcb2f7652e7796ed713c9fb8373f8e
[1]:  0000000000000000000000000000000000000000000000000000000001312d00",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x7412b8b80b6b84597650c178f16a391aa4b1487d7d7a83a3ede49a282e4c69f6,0x7412b8b80b6b84597650c178f16a391aa4b1487d7d7a83a3ede49a282e4c69f6,Success,2883530,https://scrollscan.com/block/2883530,Confirmed by Sequencer,35 secs ago (Jan-29-2024 04:42:51 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000171350936400076 ETH ($0.39),.,0.0000000004 ETH (0.4 Gwei),.,.
